Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
POLSCI 653,75%,,,,,,,,,,,,,,,
POLSCI 658,53%,100%,,,,,,,,,,,,,,
POLSCI 661,,,,,,,,,,,,,,,,
POLSCI 663,,,,,,,,,,,,,,,,
POLSCI 680,100%,100%,36%,4%,69%,20%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
POLSCI 688,94%,98%,35%,1%,76%,16%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
POLSCI 694,,,,<1%,38%,43%,17%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
POLSCI 736,96%,97%,12%,<1%,80%,16%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
POLSCI 781,100%,100%,,,,,,,,,,,,,,
POLSCI 799,93%,90%,37%,3%,49%,39%,8%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
POLSCI 993,28%,69%,,,,,,,,,,,,,,
PORTUG 101,100%,100%,67%,<1%,36%,38%,11%,9%,<1%,2%,4%,2%,<1%,<1%,<1%,<1%
PORTUG 231,,,,<1%,38%,50%,9%,<1%,<1%,<1%,3%,<1%,<1%,<1%,<1%,<1%
PORTUG 280,98%,96%,65%,<1%,33%,36%,15%,10%,3%,1%,<1%,1%,<1%,<1%,<1%,<1%
PORTUG 290,,,,,,,,,,,,,,,,
PSYCH 111,78%,92%,12%,12%,36%,15%,10%,13%,5%,3%,4%,1%,<1%,1%,<1%,<1%
PSYCH 112,65%,77%,7%,2%,56%,16%,9%,7%,3%,2%,2%,1%,1%,<1%,<1%,1%
PSYCH 114,100%,96%,14%,20%,48%,25%,3%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 120,88%,89%,10%,12%,64%,15%,4%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 121,86%,95%,17%,20%,54%,14%,5%,2%,1%,1%,1%,1%,<1%,<1%,<1%,1%
PSYCH 122,80%,96%,5%,<1%,75%,16%,5%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 211,88%,88%,25%,11%,69%,13%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 213,80%,81%,3%,<1%,80%,12%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 220,59%,88%,21%,2%,23%,25%,11%,15%,11%,3%,3%,2%,2%,1%,<1%,<1%
PSYCH 223,87%,82%,12%,29%,52%,14%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 225,83%,90%,15%,4%,11%,11%,15%,12%,10%,12%,7%,9%,4%,3%,2%,1%
PSYCH 230,76%,89%,25%,7%,19%,16%,14%,17%,8%,6%,7%,3%,2%,1%,<1%,<1%
PSYCH 240,71%,91%,7%,8%,24%,22%,15%,12%,7%,4%,3%,2%,1%,1%,<1%,1%
PSYCH 242,73%,86%,6%,8%,40%,19%,11%,8%,5%,2%,3%,2%,1%,1%,<1%,1%
PSYCH 250,78%,93%,2%,10%,45%,20%,8%,10%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
PSYCH 270,92%,96%,14%,4%,32%,24%,14%,12%,5%,3%,2%,1%,1%,<1%,<1%,<1%
PSYCH 280,81%,89%,4%,2%,57%,17%,9%,7%,3%,2%,1%,<1%,<1%,<1%,<1%,<1%
PSYCH 290,82%,84%,6%,8%,43%,20%,10%,7%,6%,2%,2%,1%,<1%,1%,<1%,<1%
PSYCH 302,47%,84%,41%,8%,27%,26%,14%,10%,7%,3%,3%,1%,<1%,<1%,<1%,1%
PSYCH 303,31%,74%,39%,11%,42%,16%,10%,9%,4%,2%,2%,1%,<1%,<1%,<1%,1%
PSYCH 304,94%,93%,3%,49%,41%,3%,2%,2%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%
PSYCH 305,100%,100%,,,,,,,,,,,,,,
PSYCH 306,96%,98%,46%,8%,88%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 307,100%,100%,9%,70%,18%,7%,2%,2%,<1%,<1%,1%,1%,<1%,<1%,<1%,<1%
PSYCH 308,98%,97%,3%,21%,76%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 310,93%,93%,25%,3%,88%,5%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 311,99%,90%,85%,<1%,86%,8%,5%,1%,<1%,<1%,<1%,1%,<1%,<1%,<1%,<1%
PSYCH 312,96%,80%,12%,4%,70%,12%,3%,5%,2%,<1%,2%,2%,<1%,<1%,<1%,<1%
PSYCH 316,90%,81%,17%,<1%,22%,7%,8%,23%,4%,4%,20%,4%,<1%,5%,<1%,<1%
PSYCH 318,66%,90%,27%,3%,16%,6%,6%,39%,2%,2%,18%,1%,<1%,5%,<1%,1%
PSYCH 324,100%,100%,100%,21%,68%,5%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 325,86%,66%,36%,41%,30%,11%,6%,4%,4%,1%,2%,1%,<1%,<1%,<1%,1%
PSYCH 330,83%,100%,23%,9%,18%,13%,18%,16%,13%,4%,4%,4%,1%,<1%,1%,<1%
PSYCH 331,78%,87%,56%,5%,53%,34%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%
PSYCH 334,71%,97%,31%,12%,32%,17%,12%,13%,6%,2%,4%,<1%,<1%,<1%,<1%,1%
PSYCH 335,65%,82%,8%,2%,33%,20%,10%,19%,5%,3%,5%,1%,<1%,1%,<1%,1%
PSYCH 337,76%,90%,10%,2%,28%,24%,15%,17%,4%,3%,4%,2%,<1%,<1%,<1%,1%
PSYCH 338,66%,90%,20%,7%,29%,14%,14%,15%,6%,4%,6%,3%,<1%,<1%,<1%,1%
PSYCH 339,,,,37%,59%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 341,48%,94%,3%,17%,42%,22%,14%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 343,,,,,,,,,,,,,,,,
PSYCH 345,86%,94%,13%,11%,26%,21%,14%,10%,6%,4%,3%,2%,<1%,<1%,<1%,<1%
PSYCH 346,85%,94%,,5%,84%,4%,1%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 347,79%,99%,6%,5%,27%,23%,18%,14%,8%,3%,2%,<1%,<1%,<1%,<1%,<1%
PSYCH 349,75%,89%,6%,22%,36%,19%,8%,6%,4%,1%,1%,1%,<1%,<1%,<1%,1%
PSYCH 351,53%,89%,48%,4%,38%,21%,14%,13%,5%,1%,2%,1%,<1%,<1%,<1%,1%
PSYCH 352,74%,85%,10%,8%,34%,25%,12%,7%,6%,2%,2%,1%,<1%,1%,<1%,2%
PSYCH 353,90%,95%,17%,8%,36%,20%,9%,13%,6%,2%,3%,1%,<1%,<1%,<1%,<1%
PSYCH 355,80%,96%,4%,10%,45%,20%,11%,7%,3%,3%,1%,1%,<1%,<1%,<1%,<1%
PSYCH 356,76%,96%,5%,22%,49%,12%,6%,7%,1%,1%,2%,<1%,<1%,<1%,<1%,<1%
PSYCH 360,70%,95%,10%,5%,34%,22%,16%,10%,4%,4%,1%,1%,<1%,1%,<1%,1%
PSYCH 373,98%,96%,6%,6%,30%,26%,13%,14%,7%,1%,3%,1%,<1%,<1%,<1%,<1%
PSYCH 381,44%,73%,55%,12%,52%,22%,9%,4%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%
PSYCH 383,36%,91%,18%,<1%,23%,19%,29%,23%,<1%,3%,3%,<1%,<1%,<1%,<1%,<1%
PSYCH 390,,,,15%,58%,8%,3%,7%,5%,3%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 395,88%,93%,9%,6%,53%,20%,9%,8%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%
PSYCH 401,87%,94%,12%,15%,50%,16%,7%,6%,2%,1%,1%,1%,<1%,<1%,<1%,<1%
PSYCH 402,83%,93%,33%,20%,45%,15%,7%,9%,2%,<1%,2%,<1%,<1%,<1%,<1%,<1%
PSYCH 424,92%,90%,33%,17%,80%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 426,96%,95%,46%,30%,66%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 430,86%,95%,13%,8%,42%,26%,10%,7%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%
PSYCH 440,92%,92%,67%,4%,21%,39%,28%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 442,,,,4%,66%,25%,3%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 447,75%,98%,15%,9%,50%,20%,10%,4%,2%,2%,2%,<1%,<1%,1%,<1%,<1%
PSYCH 448,,,,7%,10%,14%,19%,10%,12%,2%,10%,12%,<1%,2%,2%,2%
PSYCH 449,84%,93%,,16%,33%,21%,12%,7%,6%,2%,1%,1%,1%,<1%,<1%,<1%
PSYCH 451,,,,,,,,,,,,,,,,
PSYCH 454,,,,<1%,93%,4%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 457,84%,90%,20%,19%,50%,15%,8%,5%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
PSYCH 463,96%,92%,56%,21%,21%,29%,9%,12%,3%,<1%,3%,<1%,<1%,<1%,<1%,3%
PSYCH 477,94%,93%,15%,7%,44%,20%,10%,9%,4%,2%,3%,1%,<1%,<1%,<1%,<1%
PSYCH 487,87%,88%,3%,11%,51%,15%,10%,6%,3%,1%,1%,1%,<1%,<1%,<1%,<1%
PSYCH 506,22%,92%,4%,,,,,,,,,,,,,
PSYCH 519,,,,10%,86%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 541,,,,,,,,,,,,,,,,
PSYCH 609,59%,79%,,,,,,,,,,,,,,
PSYCH 613,71%,93%,39%,8%,52%,13%,19%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 631,64%,93%,50%,<1%,80%,12%,<1%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 653,79%,93%,19%,9%,89%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 655,88%,62%,,,,,,,,,,,,,,
PSYCH 681,76%,83%,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 682,95%,100%,17%,12%,62%,22%,2%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 707,96%,100%,15%,6%,73%,11%,5%,3%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 708,61%,92%,67%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 730,,,,39%,61%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 742,94%,100%,78%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 743,92%,100%,15%,,,,,,,,,,,,,
PSYCH 751,70%,100%,18%,<1%,62%,20%,15%,2%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%
PSYCH 756,100%,100%,50%,,,,,,,,,,,,,
PSYCH 759,58%,79%,,<1%,93%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 771,38%,62%,7%,<1%,93%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 775,79%,83%,33%,,,,,,,,,,,,,
PSYCH 776,56%,90%,30%,<1%,96%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 782,87%,100%,64%,,,,,,,,,,,,,
PSYCH 793,,,,,,,,,,,,,,,,
PSYCH 808,94%,100%,15%,14%,77%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 840,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 861,80%,100%,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 872,100%,100%,33%,,,,,,,,,,,,,
PSYCH 875,80%,100%,,,,,,,,,,,,,,
PSYCH 876,,,,,,,,,,,,,,,,
PSYCH 958,84%,89%,5%,5%,90%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PSYCH 988,73%,94%,38%,3%,84%,8%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RELIGION 209,,,,<1%,11%,36%,32%,13%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%
RELIGION 210,100%,100%,6%,,,,,,,,,,,,,
RELIGION 212,,,,,,,,,,,,,,,,
RELIGION 225,,,,26%,34%,23%,11%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RELIGION 230,81%,97%,8%,7%,40%,24%,10%,11%,3%,2%,2%,1%,<1%,<1%,<1%,<1%
RELIGION 235,81%,100%,25%,27%,18%,23%,18%,9%,<1%,<1%,<1%,<1%,<1%,4%,<1%,<1%
RELIGION 277,78%,93%,35%,12%,37%,18%,13%,9%,3%,3%,2%,1%,1%,<1%,<1%,1%
RELIGION 280,83%,94%,6%,8%,50%,20%,11%,9%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
RELIGION 360,,,,31%,46%,17%,2%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RELIGION 402,,,,33%,67%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RELIGION 461,100%,71%,8%,10%,53%,21%,10%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RELIGION 486,,,,,,,,,,,,,,,,
RELIGION 496,93%,100%,57%,<1%,44%,56%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ROMLANG 250,62%,100%,25%,25%,75%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ROMLANG 498,45%,100%,13%,8%,68%,11%,8%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ROMLANG 528,63%,75%,,,,,,,,,,,,,,
ROMLANG 681,62%,100%,6%,,,,,,,,,,,,,
ROMLANG 993,,,,,,,,,,,,,,,,
ROMLING 298,82%,98%,6%,24%,45%,17%,6%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ROMLING 333,91%,100%,8%,9%,50%,22%,7%,5%,2%,3%,2%,<1%,<1%,<1%,<1%,<1%
ROMLING 410,93%,100%,9%,25%,50%,13%,6%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ROMLING 411,81%,84%,18%,6%,58%,15%,12%,2%,4%,<1%,1%,<1%,<1%,<1%,<1%,1%
ROMLING 413,81%,100%,11%,16%,69%,14%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ROMLING 415,91%,95%,16%,<1%,50%,35%,10%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
RUSSIAN 101,99%,95%,56%,6%,54%,19%,3%,7%,3%,3%,4%,1%,<1%,<1%,<1%,<1%
RUSSIAN 103,81%,100%,71%,8%,40%,16%,4%,12%,8%,8%,<1%,<1%,<1%,<1%,<1%,4%
RUSSIAN 125,100%,100%,15%,<1%,70%,23%,<1%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 201,92%,100%,35%,2%,36%,19%,11%,21%,3%,1%,3%,2%,<1%,1%,<1%,<1%
RUSSIAN 231,73%,95%,7%,14%,72%,9%,2%,2%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 301,,,,7%,48%,28%,9%,3%,2%,<1%,3%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 347,69%,100%,57%,<1%,32%,21%,11%,16%,6%,5%,5%,1%,1%,1%,<1%,<1%
RUSSIAN 358,77%,100%,18%,25%,35%,25%,15%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 365,,,,<1%,38%,12%,12%,25%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 401,,,,10%,41%,20%,10%,8%,3%,<1%,<1%,3%,<1%,3%,3%,<1%
RUSSIAN 511,99%,95%,56%,20%,50%,20%,<1%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 513,92%,100%,35%,<1%,57%,43%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 515,,,,<1%,40%,20%,20%,20%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 517,,,,<1%,67%,8%,<1%,25%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 519,,,,<1%,91%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,3%,<1%,<1%
RUSSIAN 523,,,,25%,25%,25%,<1%,<1%,<1%,<1%,25%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 524,100%,100%,15%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RUSSIAN 558,77%,100%,18%,42%,58%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
REEES 214,,,,24%,57%,9%,7%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
REEES 230,,,,,,,,,,,,,,,,
REEES 395,85%,94%,11%,2%,42%,26%,12%,9%,5%,2%,1%,1%,<1%,1%,<1%,<1%
REEES 411,,,,<1%,75%,25%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
REEES 601,69%,80%,,3%,80%,14%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
REEES 795,67%,,,,,,,,,,,,,,,
SCAND 103,87%,100%,19%,2%,27%,30%,11%,11%,9%,7%,2%,<1%,<1%,<1%,<1%,<1%
SCAND 233,,,,<1%,47%,18%,12%,13%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%
SCAND 325,,,,2%,72%,6%,8%,8%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
SCAND 331,94%,100%,3%,2%,93%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
SCAND 375,79%,95%,34%,1%,29%,23%,14%,16%,8%,2%,6%,1%,<1%,<1%,<1%,<1%
RCASL 100,95%,96%,4%,<1%,97%,1%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCASL 101,,,,<1%,84%,6%,4%,2%,1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
RCASL 201,95%,100%,6%,<1%,86%,8%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCCORE 100,74%,88%,25%,3%,45%,28%,13%,7%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
RCCORE 302,,,,4%,81%,10%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCCORE 334,91%,88%,14%,26%,56%,10%,3%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCARTS 285,88%,100%,83%,6%,26%,26%,20%,7%,5%,3%,4%,2%,<1%,2%,<1%,<1%
RCARTS 288,96%,81%,76%,<1%,56%,27%,13%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCARTS 289,92%,89%,63%,5%,43%,19%,16%,7%,6%,2%,2%,1%,<1%,<1%,<1%,<1%
RCARTS 334,,,,18%,55%,18%,<1%,<1%,<1%,9%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 150,90%,92%,14%,4%,31%,27%,17%,10%,5%,2%,1%,1%,<1%,<1%,<1%,1%
RCHUMS 202,,,,,,,,,,,,,,,,
RCHUMS 218,,,,9%,16%,18%,34%,11%,6%,4%,2%,<1%,<1%,<1%,<1%,<1%
RCHUMS 220,96%,96%,22%,8%,74%,12%,2%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%,1%
RCHUMS 221,92%,97%,3%,9%,74%,9%,4%,1%,1%,1%,1%,<1%,<1%,1%,<1%,<1%
RCHUMS 249,,,,2%,80%,7%,2%,5%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 250,98%,97%,10%,,,,,,,,,,,,,
RCHUMS 252,92%,94%,24%,15%,53%,21%,6%,2%,1%,<1%,1%,1%,<1%,<1%,<1%,<1%
RCHUMS 258,,,,2%,96%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 259,,,,<1%,59%,28%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 260,82%,100%,7%,12%,27%,24%,20%,8%,8%,1%,1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 282,,,,14%,60%,19%,5%,<1%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%
RCHUMS 291,,,,,,,,,,,,,,,,
RCHUMS 301,,,,6%,66%,14%,6%,<1%,3%,<1%,<1%,3%,<1%,3%,<1%,<1%
RCHUMS 303,,,,14%,76%,4%,2%,2%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 304,,,,,,,,,,,,,,,,
RCHUMS 307,71%,84%,7%,10%,55%,18%,10%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 308,,,,<1%,36%,28%,19%,8%,6%,<1%,2%,<1%,<1%,<1%,<1%,<1%
RCHUMS 312,68%,91%,18%,3%,31%,24%,19%,13%,6%,2%,<1%,<1%,<1%,<1%,<1%,2%
RCHUMS 325,99%,100%,21%,9%,83%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 326,100%,93%,,11%,80%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 332,,,,50%,28%,11%,<1%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 334,83%,93%,17%,15%,56%,16%,7%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 337,80%,73%,40%,8%,19%,46%,12%,8%,4%,<1%,<1%,<1%,<1%,<1%,<1%,4%
RCHUMS 341,,,,<1%,85%,9%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,2%
RCHUMS 346,,,,<1%,17%,40%,28%,6%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 347,69%,100%,57%,<1%,32%,21%,11%,16%,6%,5%,5%,1%,1%,1%,<1%,<1%
RCHUMS 354,54%,94%,11%,1%,44%,25%,20%,4%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 365,,,,31%,46%,17%,2%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 374,89%,,,46%,9%,27%,18%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 381,,,,14%,64%,21%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 390,,,,2%,85%,9%,<1%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 425,100%,96%,9%,5%,83%,5%,3%,3%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
RCHUMS 426,100%,100%,25%,12%,85%,1%,1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<1%,<1%
RCHUMS 485,,,,9%,82%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCIDIV 270,82%,88%,45%,22%,43%,16%,6%,5%,2%,1%,2%,1%,<1%,<1%,<1%,<1%
RCIDIV 350,91%,98%,4%,,,,,,,,,,,,,
RCIDIV 351,,,,,,,,,,,,,,,,
RCLANG 150,,,,,,,,,,,,,,,,
RCLANG 151,,,,,,,,,,,,,,,,
RCLANG 153,,,,,,,,,,,,,,,,
RCLANG 154,78%,100%,61%,,,,,,,,,,,,,
RCLANG 156,,,,,,,,,,,,,,,,
RCLANG 190,86%,98%,59%,,,,,,,,,,,,,
RCLANG 191,95%,100%,57%,,,,,,,,,,,,,
RCLANG 193,81%,100%,71%,,,,,,,,,,,,,
RCLANG 194,79%,100%,63%,,,,,,,,,,,,,
RCLANG 195,92%,100%,67%,,,,,,,,,,,,,
RCLANG 196,91%,91%,30%,,,,,,,,,,,,,
RCLANG 250,,,,,,,,,,,,,,,,
RCLANG 251,,,,,,,,,,,,,,,,
RCLANG 254,,,,,,,,,,,,,,,,
RCLANG 290,90%,100%,34%,,,,,,,,,,,,,
RCLANG 291,95%,100%,37%,,,,,,,,,,,,,
RCLANG 294,87%,98%,57%,,,,,,,,,,,,,
RCLANG 310,100%,100%,,,,,,,,,,,,,,
RCLANG 314,62%,92%,25%,,,,,,,,,,,,,
RCLANG 320,79%,92%,45%,<1%,25%,42%,24%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCLANG 323,64%,60%,100%,,,,,,,,,,,,,
RCLANG 324,87%,99%,18%,12%,34%,29%,16%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCLANG 325,77%,100%,40%,25%,54%,14%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCNSCI 110,76%,90%,23%,7%,18%,25%,21%,12%,8%,4%,1%,1%,1%,1%,1%,<1%
RCNSCI 202,65%,89%,6%,5%,35%,27%,14%,10%,4%,1%,2%,1%,<1%,<1%,<1%,<1%
RCNSCI 419,90%,95%,21%,5%,42%,21%,16%,10%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%
RCSSCI 220,72%,62%,54%,1%,24%,29%,11%,24%,4%,1%,4%,2%,<1%,<1%,<1%,<1%
RCSSCI 327,75%,89%,74%,1%,22%,35%,21%,13%,4%,2%,2%,<1%,<1%,<1%,<1%,<1%
RCSSCI 357,90%,97%,30%,4%,49%,26%,10%,4%,4%,<1%,1%,<1%,<1%,<1%,<1%,2%
RCSSCI 360,88%,96%,18%,24%,52%,13%,6%,3%,1%,<1%,1%,<1%,<1%,<1%,<1%,1%
RCSSCI 365,,,,5%,20%,32%,25%,12%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
RCSSCI 390,91%,100%,17%,20%,69%,7%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCSSCI 428,86%,100%,43%,12%,75%,11%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCSSCI 460,,,,<1%,56%,15%,20%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
RCSSCI 461,91%,94%,49%,<1%,33%,33%,24%,5%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANATOMY 403,84%,90%,49%,3%,27%,10%,6%,28%,4%,3%,11%,2%,<1%,3%,1%,2%
ANATOMY 510,,,,<1%,94%,<1%,<1%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANATOMY 570,,,,29%,31%,4%,14%,22%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANATOMY 571,,,,<1%,53%,<1%,<1%,47%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
