Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
URP 587,80%,100%,19%,39%,32%,16%,7%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 592,95%,76%,31%,13%,19%,20%,19%,17%,10%,2%,<1%,<1%,<1%,<1%,<1%,<1%
URP 595,,,,,,,,,,,,,,,,
URP 600,97%,100%,3%,,,,,,,,,,,,,
URP 993,,,,,,,,,,,,,,,,
HYGDCE 481,,,,<1%,9%,9%,20%,20%,16%,11%,4%,7%,2%,2%,<1%,<1%
HYGDCE 482,,,,<1%,33%,14%,31%,21%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HYGDCE 486,,,,<1%,15%,15%,33%,20%,8%,8%,<1%,<1%,<1%,<1%,<1%,<1%
HYGDCE 488,,,,<1%,51%,20%,13%,10%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 209,58%,79%,11%,11%,11%,5%,11%,17%,13%,13%,12%,6%,<1%,<1%,<1%,1%
DENTHYG 211,95%,87%,23%,3%,6%,22%,42%,20%,6%,1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 224,89%,100%,8%,3%,16%,19%,22%,19%,10%,5%,4%,1%,<1%,<1%,<1%,<1%
DENTHYG 252,32%,61%,7%,12%,12%,19%,22%,17%,15%,3%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 291,27%,69%,59%,6%,5%,15%,13%,17%,13%,11%,10%,9%,<1%,<1%,<1%,1%
DENTHYG 310,,,,19%,11%,9%,24%,15%,8%,9%,4%,1%,<1%,<1%,<1%,1%
DENTHYG 312,,,,<1%,6%,27%,46%,15%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 344,,,,<1%,25%,41%,18%,12%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 382,,,,<1%,25%,27%,24%,12%,9%,3%,<1%,1%,<1%,<1%,<1%,<1%
DENTHYG 401,,,,,,,,,,,,,,,,
DENTHYG 414,85%,78%,26%,1%,10%,32%,36%,16%,5%,1%,<1%,1%,<1%,<1%,<1%,<1%
DENTHYG 416,,,,<1%,82%,6%,8%,1%,1%,<1%,<1%,1%,<1%,<1%,<1%,1%
DENTHYG 422,,,,<1%,9%,10%,27%,31%,12%,8%,4%,1%,<1%,<1%,<1%,<1%
DENTHYG 425,,,,4%,20%,13%,22%,21%,4%,9%,7%,1%,<1%,<1%,<1%,<1%
DENTHYG 429,69%,95%,2%,<1%,19%,18%,25%,17%,9%,6%,4%,3%,<1%,<1%,<1%,1%
DENTHYG 434,,,,,,,,,,,,,,,,
DENTHYG 444,,,,,,,,,,,,,,,,
DENTHYG 445,,,,,,,,,,,,,,,,
DENTHYG 446,,,,1%,47%,29%,13%,9%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 450,,,,1%,33%,24%,16%,12%,6%,2%,5%,1%,<1%,<1%,<1%,<1%
DENTHYG 466,,,,17%,79%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 475,,,,,,,,,,,,,,,,
DENTHYG 480,,,,5%,81%,5%,3%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 503,,,,,,,,,,,,,,,,
BIOMATLS 577,,,,,,,,,,,,,,,,
DENTED 603,,,,12%,27%,27%,19%,12%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTED 606,,,,23%,30%,27%,13%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTED 610,,,,19%,37%,19%,14%,10%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTED 613,,,,18%,44%,27%,8%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTED 614,,,,51%,40%,<1%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTED 630,,,,,,,,,,,,,,,,
DENTED 631,,,,,,,,,,,,,,,,
DENTHYG 209,58%,79%,11%,11%,11%,5%,11%,17%,13%,13%,12%,6%,<1%,<1%,<1%,1%
DENTHYG 211,95%,87%,23%,3%,6%,22%,42%,20%,6%,1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 224,89%,100%,8%,3%,16%,19%,22%,19%,10%,5%,4%,1%,<1%,<1%,<1%,<1%
DENTHYG 252,32%,61%,7%,12%,12%,19%,22%,17%,15%,3%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 291,27%,69%,59%,6%,5%,15%,13%,17%,13%,11%,10%,9%,<1%,<1%,<1%,1%
DENTHYG 310,,,,19%,11%,9%,24%,15%,8%,9%,4%,1%,<1%,<1%,<1%,1%
DENTHYG 312,,,,<1%,6%,27%,46%,15%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 344,,,,<1%,25%,41%,18%,12%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 382,,,,<1%,25%,27%,24%,12%,9%,3%,<1%,1%,<1%,<1%,<1%,<1%
DENTHYG 401,,,,,,,,,,,,,,,,
DENTHYG 414,85%,78%,26%,1%,10%,32%,36%,16%,5%,1%,<1%,1%,<1%,<1%,<1%,<1%
DENTHYG 416,,,,<1%,82%,6%,8%,1%,1%,<1%,<1%,1%,<1%,<1%,<1%,1%
DENTHYG 422,,,,<1%,9%,10%,27%,31%,12%,8%,4%,1%,<1%,<1%,<1%,<1%
DENTHYG 425,,,,4%,20%,13%,22%,21%,4%,9%,7%,1%,<1%,<1%,<1%,<1%
DENTHYG 429,69%,95%,2%,<1%,19%,18%,25%,17%,9%,6%,4%,3%,<1%,<1%,<1%,1%
DENTHYG 434,,,,,,,,,,,,,,,,
DENTHYG 444,,,,,,,,,,,,,,,,
DENTHYG 445,,,,,,,,,,,,,,,,
DENTHYG 446,,,,1%,47%,29%,13%,9%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 450,,,,1%,33%,24%,16%,12%,6%,2%,5%,1%,<1%,<1%,<1%,<1%
DENTHYG 466,,,,17%,79%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 475,,,,,,,,,,,,,,,,
DENTHYG 480,,,,5%,81%,5%,3%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENTHYG 503,,,,,,,,,,,,,,,,
DHYGRACK 682,,,,,,,,,,,,,,,,
DHYGRACK 684,,,,,,,,,,,,,,,,
DHYGRACK 685,,,,,,,,,,,,,,,,
DHYGRACK 687,,,,,,,,,,,,,,,,
DHYGRACK 689,,,,,,,,,,,,,,,,
DHYGRACK 693,,,,,,,,,,,,,,,,
DHYGRACK 695,,,,,,,,,,,,,,,,
DENT 502,,,,<1%,94%,<1%,<1%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 507,,,,6%,14%,24%,24%,14%,11%,4%,2%,1%,<1%,<1%,<1%,<1%
DENT 508,,,,5%,14%,14%,13%,21%,17%,8%,7%,2%,<1%,<1%,<1%,<1%
DENT 511,,,,10%,25%,22%,18%,13%,6%,4%,1%,<1%,<1%,<1%,<1%,<1%
DENT 515,,,,,,,,,,,,,,,,
DENT 518,,,,45%,28%,18%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 519,,,,3%,21%,38%,18%,8%,6%,3%,2%,1%,<1%,<1%,<1%,1%
DENT 520,,,,2%,13%,23%,18%,13%,10%,8%,5%,4%,<1%,<1%,<1%,5%
DENT 521A,,,,,,,,,,,,,,,,
DENT 521B,,,,,,,,,,,,,,,,
DENT 522,,,,<1%,39%,40%,14%,5%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 524,,,,14%,84%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 525,,,,2%,11%,20%,17%,18%,16%,8%,5%,2%,<1%,<1%,<1%,<1%
DENT 529,,,,<1%,94%,4%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 532,,,,18%,18%,31%,16%,11%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%
DENT 533,,,,<1%,2%,16%,21%,19%,22%,11%,6%,4%,<1%,<1%,<1%,<1%
DENT 539,,,,8%,13%,16%,15%,13%,16%,9%,6%,3%,<1%,<1%,<1%,1%
DENT 551,,,,,,,,,,,,,,,,
DENT 603,,,,<1%,62%,19%,11%,6%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 604,,,,,,,,,,,,,,,,
DENT 608,,,,6%,17%,18%,17%,16%,13%,7%,2%,4%,<1%,<1%,<1%,<1%
DENT 609B,,,,,,,,,,,,,,,,
DENT 612,,,,,,,,,,,,,,,,
DENT 614,,,,1%,10%,21%,18%,20%,18%,7%,3%,2%,<1%,<1%,<1%,<1%
DENT 616,,,,,,,,,,,,,,,,
DENT 617,,,,40%,15%,16%,13%,8%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%
DENT 620,,,,<1%,40%,40%,14%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 620A,,,,,,,,,,,,,,,,
DENT 620B,,,,,,,,,,,,,,,,
DENT 620C,,,,,,,,,,,,,,,,
DENT 621,,,,37%,28%,16%,5%,4%,6%,3%,1%,<1%,<1%,<1%,<1%,<1%
DENT 622,,,,7%,23%,39%,12%,9%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 623A,,,,,,,,,,,,,,,,
DENT 625,,,,,,,,,,,,,,,,
DENT 625A,,,,,,,,,,,,,,,,
DENT 625B,,,,,,,,,,,,,,,,
DENT 625C,,,,,,,,,,,,,,,,
DENT 625I,,,,,,,,,,,,,,,,
DENT 631,,,,57%,24%,10%,4%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 632,,,,13%,29%,43%,7%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 633,,,,,,,,,,,,,,,,
DENT 636,,,,<1%,36%,19%,16%,17%,6%,3%,2%,<1%,<1%,<1%,<1%,<1%
DENT 640,,,,40%,18%,17%,11%,6%,4%,1%,2%,1%,<1%,<1%,<1%,<1%
DENT 641,,,,21%,35%,25%,11%,5%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 642,,,,,,,,,,,,,,,,
DENT 643,,,,14%,49%,27%,6%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 644,,,,38%,14%,16%,11%,10%,6%,3%,1%,1%,<1%,<1%,<1%,<1%
DENT 660,,,,,,,,,,,,,,,,
DENT 676A,,,,,,,,,,,,,,,,
DENT 676B,,,,,,,,,,,,,,,,
DENT 705,,,,,,,,,,,,,,,,
DENT 710,,,,<1%,92%,4%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 711,,,,54%,33%,<1%,4%,6%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
DENT 716,,,,,,,,,,,,,,,,
DENT 717,,,,<1%,45%,<1%,<1%,50%,<1%,<1%,5%,<1%,<1%,<1%,<1%,<1%
DENT 720,,,,<1%,46%,34%,12%,4%,1%,1%,1%,1%,<1%,<1%,<1%,<1%
DENT 720A,,,,,,,,,,,,,,,,
DENT 720B,,,,,,,,,,,,,,,,
